Country,Product,Flow,Year,Value
Australia,Electricity,Total final consumption (ktoe),2010,18057
Australia,Electricity,Total final consumption (ktoe),2011,18249
Australia,Electricity,Total final consumption (ktoe),2012,18050
Australia,Electricity,Total final consumption (ktoe),2013,18043
Australia,Electricity,Total final consumption (ktoe),2014,17871
Australia,Electricity,Total final consumption (ktoe),2015,18170
Australia,Heat,Total final consumption (ktoe),2010,0
Australia,Heat,Total final consumption (ktoe),2011,0
Australia,Heat,Total final consumption (ktoe),2012,0
Australia,Heat,Total final consumption (ktoe),2013,0
Australia,Heat,Total final consumption (ktoe),2014,0
Australia,Heat,Total final consumption (ktoe),2015,0
Australia,Natural gas,Total final consumption (ktoe),2010,12304
Australia,Natural gas,Total final consumption (ktoe),2011,12469
Australia,Natural gas,Total final consumption (ktoe),2012,12476
Australia,Natural gas,Total final consumption (ktoe),2013,13005
Australia,Natural gas,Total final consumption (ktoe),2014,13349
Australia,Natural gas,Total final consumption (ktoe),2015,13143
Austria,Electricity,Total final consumption (ktoe),2010,5145
Austria,Electricity,Total final consumption (ktoe),2011,5141
Austria,Electricity,Total final consumption (ktoe),2012,5212
Austria,Electricity,Total final consumption (ktoe),2013,5261
Austria,Electricity,Total final consumption (ktoe),2014,5176
Austria,Electricity,Total final consumption (ktoe),2015,5261
Austria,Heat,Total final consumption (ktoe),2010,1587
Austria,Heat,Total final consumption (ktoe),2011,1584
Austria,Heat,Total final consumption (ktoe),2012,1695
Austria,Heat,Total final consumption (ktoe),2013,1733
Austria,Heat,Total final consumption (ktoe),2014,1619
Austria,Heat,Total final consumption (ktoe),2015,1660
Austria,Natural gas,Total final consumption (ktoe),2010,5115
Austria,Natural gas,Total final consumption (ktoe),2011,4866
Austria,Natural gas,Total final consumption (ktoe),2012,4855
Austria,Natural gas,Total final consumption (ktoe),2013,5012
Austria,Natural gas,Total final consumption (ktoe),2014,4660
Austria,Natural gas,Total final consumption (ktoe),2015,4857
