Reported Date,Total Energy Supplied,Location Coordinates
"October 07, 2019",28,"20.5937, 78.9629"
"October 06, 2019",1,"20.5937, 78.9629"
"October 04, 2019",1,"20.5937, 78.9629"
"October 04, 2019",1,"20.5937, 78.9629"
"October 03, 2019",1,"20.5937, 78.9629"
"October 03, 2019",1,"20.5937, 78.9629"
"October 02, 2019",1,"20.5937, 78.9629"
"October 01, 2019",2,"20.5937, 78.9629"
"September 30, 2019",1,"20.5937, 78.9629"
"September 29, 2019",1,"20.5937, 78.9629"
"September 28, 2019",1,"20.5937, 78.9629"
"September 28, 2019",53,"20.5937, 78.9629"
"September 28, 2019",1,"20.5937, 78.9629"
"September 27, 2019",7,"20.5937, 78.9629"
"September 27, 2019",1,"20.5937, 78.9629"
"September 27, 2019",1,"20.5937, 78.9629"
"September 26, 2019",7,"20.5937, 78.9629"
"September 25, 2019",2,"20.5937, 78.9629"
"September 25, 2019",1,"20.5937, 78.9629"
"September 25, 2019",1,"20.5937, 78.9629"
"September 25, 2019",1,"20.5937, 78.9629"
"September 24, 2019",6,"20.5937, 78.9629"
"September 24, 2019",1,"20.5937, 78.9629"
"September 23, 2019",1,"20.5937, 78.9629"
"September 22, 2019",2,"20.5937, 78.9629"
"September 21, 2019",1,"20.5937, 78.9629"
"September 20, 2019",1,"20.5937, 78.9629"
"September 20, 2019",1,"20.5937, 78.9629"
"September 20, 2019",1,"20.5937, 78.9629"
"September 19, 2019",1,"20.5937, 78.9629"
"September 19, 2019",1,"20.5937, 78.9629"
"September 18, 2019",4,"20.5937, 78.9629"
"September 18, 2019",13,"20.5937, 78.9629"
"September 18, 2019",1,"20.5937, 78.9629"
"September 17, 2019",1,"20.5937, 78.9629"
"September 17, 2019",1,"20.5937, 78.9629"
"September 17, 2019",1,"20.5937, 78.9629"
"September 17, 2019",3,"20.5937, 78.9629"
"September 17, 2019",7,"20.5937, 78.9629"
"September 17, 2019",1,"20.5937, 78.9629"
"September 16, 2019",1,"20.5937, 78.9629"
"September 14, 2019",3,"20.5937, 78.9629"
"September 14, 2019",2,"20.5937, 78.9629"
"September 14, 2019",1,"20.5937, 78.9629"
"September 13, 2019",4,"20.5937, 78.9629"
"September 13, 2019",1,"20.5937, 78.9629"
"September 13, 2019",1,"20.5937, 78.9629"
"September 12, 2019",1,"20.5937, 78.9629"
"September 12, 2019",1,"20.5937, 78.9629"
"September 11, 2019",2,"20.5937, 78.9629"
"September 09, 2019",1,"20.5937, 78.9629"
"September 07, 2019",1,"20.5937, 78.9629"
"September 07, 2019",1,"20.5937, 78.9629"
"September 06, 2019",1,"20.5937, 78.9629"
"September 06, 2019",1,"20.5937, 78.9629"
"September 05, 2019",1,"20.5937, 78.9629"
"September 05, 2019",4,"20.5937, 78.9629"
"September 04, 2019",1,"20.5937, 78.9629"
"September 03, 2019",15,"20.5937, 78.9629"
"September 03, 2019",1,"20.5937, 78.9629"
"September 02, 2019",1,"20.5937, 78.9629"
"September 02, 2019",1,"20.5937, 78.9629"
"September 01, 2019",1,"20.5937, 78.9629"
"September 01, 2019",11,"20.5937, 78.9629"
"September 01, 2019",1,"20.5937, 78.9629"
"August 31, 2019",1,"20.5937, 78.9629"
"August 29, 2019",23,"20.5937, 78.9629"
"August 28, 2019",1,"20.5937, 78.9629"
"August 28, 2019",7,"20.5937, 78.9629"
"August 28, 2019",1,"20.5937, 78.9629"
"August 28, 2019",1,"20.5937, 78.9629"
"August 27, 2019",40,"20.5937, 78.9629"
"August 27, 2019",1,"20.5937, 78.9629"
"August 27, 2019",1,"20.5937, 78.9629"
"August 27, 2019",1,"20.5937, 78.9629"
"August 26, 2019",6,"20.5937, 78.9629"
"August 26, 2019",1,"20.5937, 78.9629"
"August 25, 2019",1,"20.5937, 78.9629"
"August 24, 2019",1,"20.5937, 78.9629"
"August 24, 2019",1,"20.5937, 78.9629"
"August 24, 2019",1,"20.5937, 78.9629"
"August 24, 2019",1,"20.5937, 78.9629"
"August 23, 2019",1,"20.5937, 78.9629"
"August 23, 2019",1,"20.5937, 78.9629"
"August 23, 2019",1,"20.5937, 78.9629"
"August 23, 2019",1,"20.5937, 78.9629"
"August 22, 2019",1,"20.5937, 78.9629"
"August 22, 2019",4,"20.5937, 78.9629"
"August 22, 2019",1,"20.5937, 78.9629"
"August 21, 2019",2,"20.5937, 78.9629"
"August 20, 2019",2,"20.5937, 78.9629"
"August 20, 2019",1,"20.5937, 78.9629"
"August 20, 2019",1,"20.5937, 78.9629"
"August 19, 2019",1,"20.5937, 78.9629"
"August 19, 2019",5,"20.5937, 78.9629"
"August 18, 2019",10,"20.5937, 78.9629"
"August 18, 2019",1,"20.5937, 78.9629"
"August 17, 2019",2,"20.5937, 78.9629"
"August 17, 2019",1,"20.5937, 78.9629"
"August 15, 2019",1,"20.5937, 78.9629"
"August 14, 2019",1,"20.5937, 78.9629"
"August 13, 2019",1,"20.5937, 78.9629"
"August 13, 2019",14,"20.5937, 78.9629"
"August 13, 2019",1,"20.5937, 78.9629"
"August 12, 2019",1,"20.5937, 78.9629"
"August 12, 2019",1,"20.5937, 78.9629"
"August 12, 2019",1,"20.5937, 78.9629"
"August 11, 2019",3,"20.5937, 78.9629"
"August 10, 2019",1,"20.5937, 78.9629"
"August 10, 2019",1,"20.5937, 78.9629"
"August 09, 2019",1,"20.5937, 78.9629"
"August 09, 2019",1,"20.5937, 78.9629"
"August 09, 2019",1,"20.5937, 78.9629"
"August 09, 2019",1,"20.5937, 78.9629"
"August 09, 2019",1,"20.5937, 78.9629"
"August 08, 2019",1,"20.5937, 78.9629"
"August 08, 2019",1,"20.5937, 78.9629"
"August 06, 2019",1,"20.5937, 78.9629"
"August 06, 2019",1,"20.5937, 78.9629"
"August 06, 2019",2,"20.5937, 78.9629"
"August 05, 2019",2,"20.5937, 78.9629"
"August 05, 2019",1,"20.5937, 78.9629"
"August 05, 2019",1,"20.5937, 78.9629"
"August 03, 2019",1,"20.5937, 78.9629"
"August 03, 2019",1,"20.5937, 78.9629"
"August 03, 2019",1,"20.5937, 78.9629"
"August 03, 2019",1,"20.5937, 78.9629"
"August 02, 2019",1,"20.5937, 78.9629"
"August 02, 2019",1,"20.5937, 78.9629"
"August 02, 2019",1,"20.5937, 78.9629"
"August 02, 2019",1,"20.5937, 78.9629"
"August 02, 2019",1,"20.5937, 78.9629"
"August 02, 2019",1,"20.5937, 78.9629"
"August 02, 2019",1,"20.5937, 78.9629"
"August 01, 2019",1,"20.5937, 78.9629"
"August 01, 2019",1,"20.5937, 78.9629"
"July 31, 2019",1,"20.5937, 78.9629"
"July 31, 2019",1,"20.5937, 78.9629"
"July 31, 2019",1,"20.5937, 78.9629"
"July 31, 2019",1,"20.5937, 78.9629"
"July 31, 2019",1,"20.5937, 78.9629"
"July 31, 2019",2,"20.5937, 78.9629"
"July 30, 2019",15,"20.5937, 78.9629"
"July 29, 2019",1,"20.5937, 78.9629"
"July 29, 2019",1,"20.5937, 78.9629"
"July 29, 2019",1,"20.5937, 78.9629"
"July 28, 2019",1,"20.5937, 78.9629"
"July 28, 2019",1,"20.5937, 78.9629"
"July 28, 2019",1,"20.5937, 78.9629"
"July 27, 2019",1,"20.5937, 78.9629"
"July 27, 2019",4,"20.5937, 78.9629"
"July 25, 2019",150,"20.5937, 78.9629"
"July 25, 2019",1,"20.5937, 78.9629"
"July 24, 2019",1,"20.5937, 78.9629"
"July 24, 2019",1,"20.5937, 78.9629"
"July 23, 2019",1,"20.5937, 78.9629"
"July 23, 2019",1,"20.5937, 78.9629"
"July 23, 2019",1,"20.5937, 78.9629"
"July 22, 2019",2,"20.5937, 78.9629"
"July 22, 2019",1,"20.5937, 78.9629"
"July 22, 2019",1,"20.5937, 78.9629"
"July 22, 2019",1,"20.5937, 78.9629"
"July 22, 2019",1,"20.5937, 78.9629"
"July 22, 2019",1,"20.5937, 78.9629"
"July 21, 2019",1,"20.5937, 78.9629"
"July 20, 2019",1,"20.5937, 78.9629"
"July 20, 2019",1,"20.5937, 78.9629"
"July 20, 2019",1,"20.5937, 78.9629"
"July 20, 2019",1,"20.5937, 78.9629"
"July 20, 2019",1,"20.5937, 78.9629"
"July 20, 2019",1,"20.5937, 78.9629"
"July 19, 2019",1,"20.5937, 78.9629"
"July 19, 2019",1,"20.5937, 78.9629"
"July 19, 2019",1,"20.5937, 78.9629"
