"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"52483","Mediterranean","October 07, 2019","2019","Oct","13","15","28","22","13","","2","Drowning","Off the coast of Lampedusa - boat departed from Tunisia","IOM Italy","35.210549549164, 12.180541076066","Central Mediterranean","http://bit.ly/30SkUof, http://bit.ly/2IvbHf3","Uncategorized","4"
"52482","US-Mexico Border","October 06, 2019","2019","Oct","1","","1","","","1","","Drowning","Río Bravo, near Matamoros, Tamaulipas, Mexico","Vox Pópuli, Minuto Uno Tamaulipas","25.900890221875, -97.525930965196","","http://bit.ly/30QheDy, http://bit.ly/2Oypbe9","Central America","3"
"52480","Mediterranean","October 04, 2019","2019","Oct","1","","1","65","","1","1","Unknown","During medical evacuation to Almería, Spain - after being rescued from a boat in the Alboran Sea, 44 miles south-east of Motril, Granada","Caminando Fronteras, EFE, AFP","36.778630672371, -2.499724435320","Western Mediterranean","http://bit.ly/2LRkv18, http://bit.ly/31SIXVb, http://bit.ly/2Ot2zeH","Uncategorized","4"
"52481","US-Mexico Border","October 04, 2019","2019","Oct","1","","1","","","1","","Drowning","Río Bravo, near poblado Los Guerra Viejo, Miguel Alemán, Tamaulipas, Mexico","Hoy Tamaulipas","26.396783686456, -99.078156497984","","http://bit.ly/2oV1jqi","Central America","1"
"52478","Central America","October 03, 2019","2019","Oct","1","","1","","","1","","Hit by train","Train tracks near San Juan Evangelista, Veracruz, Mexico","Diario de Xalapa, Al Calor Político","17.887207400000, -95.138674200000","","http://bit.ly/31TXXT5, http://bit.ly/2pUKrk1","Central America","3"
"52479","US-Mexico Border","October 03, 2019","2019","Oct","1","","1","","","1","","Drowning","Río Bravo, near Ejido Adolfo López Mateos (KM213 of Carretera Ribereña, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas, El Diario de Ciudad Victoria","27.435807331497, -99.495251713848","","http://bit.ly/30WgBIu, http://bit.ly/2LTjS79","Central America","3"
"52477","US-Mexico Border","October 02, 2019","2019","Oct","1","","1","","","1","","Dehydration","Near Los Galván Ranch, between Texas State Highway 83 and 44, Webb County, Texas, USA","Laredo Daily, Familias Unidas en Busca de una Esperanza","28.025147800000, -99.548918700000","","http://bit.ly/2Iuy30m, http://bit.ly/31Rxvte","Northern America","3"
"52468","Europe","October 01, 2019","2019","Oct","2","","2","","","2","","Drowning","Lake Sot, near Šid, Voivodina, Serbia - near border with Croatia","IOM Serbia, Telegraf","45.158752305501, 19.339737369364","Western Balkans","http://bit.ly/2mYdFNG","Southern Europe","4"
"52467","North Africa","September 30, 2019","2019","Sep","1","","1","","","1","","Plane stowaway","Mohammed V Airport in Casablanca, Morocco - inside the landing gear of a Royal Air Morocco aircraft coming from Conakry, Guinea","Le 360, 20minutes","33.369970400000, -7.585723100000","","http://bit.ly/2nNGkp2, http://bit.ly/2nF3LB0","Northern Africa","3"
"52466","US-Mexico Border","September 29, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, near Leehman ranch, Eagle Pass, Maverick County, Texas, USA","Zócalo, SuperChannel12","28.738417958720, -100.507007749200","","http://bit.ly/2pog4lF, http://bit.ly/2oBk3L1","Northern America","3"
"52461","Mediterranean","September 28, 2019","2019","Sep","1","","1","20","","1","1","Drowning","Off the coast of Krichtel, wilaya of Oran, Algeria","ObservAlgérie, ALG24","35.980436749635, -0.492110075391","Western Mediterranean","http://bit.ly/2oxNHRq, http://bit.ly/2mmp9dy","Uncategorized","3"
"52462","Mediterranean","September 28, 2019","2019","Sep","18","35","53","3","1","6","","Drowning","Off the coast of Mohammédia, Morocco","Caminando Fronteras, APDHA, Association Marocaine des Droits Humains - Section Nador","33.650995541550, -7.494747852482","Western Mediterranean","http://bit.ly/2n7pdy1, http://bit.ly/2mhRwcH, http://bit.ly/2ovqsHF, http://bit.ly/2nRm8CL, http://bit.ly/2mYFYLY, http://bit.ly/2nDSSzq, http://bit.ly/2OqTFyl, http://bit.ly/31TNNlj, http://bit.ly/2LR6YXl","Uncategorized","4"
"52465","US-Mexico Border","September 28, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, near Las Piedras, Reynosa, Tamaulipas, Mexico","Hoy Tamaulipas","26.076436013840, -98.232415824346","","http://bit.ly/2nD4X7X","Central America","1"
"52459","Mediterranean","September 27, 2019","2019","Sep","7","","7","12","2","","5","Drowning","Off the coast of Oinousses, Greece","IOM Greece","38.519212404679, 26.320742344141","Eastern Mediterranean","","Uncategorized","4"
"52460","Mediterranean","September 27, 2019","2019","Sep","1","","1","5","","","","Drowning","37 nautical miles north of Ténès, wilaya of Chlef, Algeria","TSA Algérie","36.574984368876, 1.298778125781","Western Mediterranean","http://bit.ly/2oCdyI3","Uncategorized","1"
"52464","US-Mexico Border","September 27, 2019","2019","Sep","1","","1","","","1","","Drowning","Río Bravo, Rancho El Porvenir, near Nuevo Laredo, Tamaulipas, Mexico","La Tarde, La Vanguardia","27.263884114760, -99.455439943894","","http://bit.ly/2plKQeW, http://bit.ly/2nD3lep","Central America","3"
